trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
74,1,16,68,20,-10,78,40,1.34214934732,83,41.3,2.66678327979
75,1,17,68,20,10,58,10,1.00784159528,260,46.2,2.18361707349
76,1,18,68,20,-10,78,40,1.22376266479,82,74.8,2.65030098562
77,1,19,68,20,20,48,40,0.942109618562,176,74.3,3.45032326184
78,1,20,68,20,10,58,40,0.909764358704,305,38.9,2.04987791843
79,1,21,68,20,10,58,10,1.01072931365,25,55.1,2.38390237821
80,1,22,68,20,-20,88,10,1.53231592606,224,121.2,3.56707694565
81,1,23,68,20,20,48,10,0.801179777511,277,42.2,2.21700213315
82,1,24,68,20,-30,98,40,1.73234365949,187,111.4,3.45004495994
83,1,25,68,20,30,38,40,0.73069929056,57,38.7,2.2836883393
84,1,26,68,20,-50,118,10,2.07932227906,294,130.5,1.15018794434
85,1,27,68,20,20,48,40,0.867703463475,158,24.8,4.13366701389
86,1,28,68,20,-20,88,40,1.54522585898,137,122.4,3.63391407474
87,1,29,68,20,-10,78,10,1.3638131372,348,85.6,1.11702926909
88,1,30,68,20,0,68,10,1.17584180152,273,70.9,1.86886215272
89,1,31,68,20,0,68,10,1.18539264513,348,57,0.800256508628
90,1,32,68,20,10,58,40,0.93813496786,69,48.8,2.16694250349
91,1,33,68,20,-10,78,40,1.41531799167,303,46.1,2.35019223055
92,1,34,68,20,-20,88,40,1.52949318121,166,53.2,3.46689339317
93,1,35,68,20,40,28,40,0.446410869122,188,350.9,3.25021061296
94,1,36,68,20,-30,98,10,1.69576042474,140,111.7,3.90010833249
95,1,37,68,20,-10,78,40,1.37449545977,287,68.6,1.81688278329
96,1,38,68,20,10,58,10,1.02001974263,85,71.8,2.85017185595
97,1,39,68,20,30,38,40,0.785027545188,297,312.0,2.90011014356
98,1,40,68,20,-10,78,10,1.35763897473,202,87.3,3.583611761
99,1,41,68,20,20,48,40,0.962009928344,58,44.2,1.75036772374
100,1,42,68,20,10,58,10,1.04577293016,50,57.4,2.01690970794
101,1,43,68,20,-10,78,40,1.3165129739,268,124.0,1.81697454443
102,1,44,68,20,-30,98,40,1.74444772759,205,124.6,3.16677860118
103,1,45,68,20,-10,78,10,1.38205266233,250,69.2,2.81671224036
104,1,46,68,20,20,48,10,0.825291702707,320,51.2,1.56691455256
105,1,47,68,20,-20,88,10,1.5365916766,123,93.5,3.93364914461
106,1,48,68,20,-20,88,40,1.5311865758,25,118.8,2.30027567584
107,1,49,68,20,0,68,10,1.19470040608,208,54.0,2.51697203911
108,2,0,68,20,10,58,40,1.06216013499,68,71.9,2.88362966046
109,2,1,68,20,10,58,40,0.990898503736,330,19.1,1.65025208659
110,2,2,68,20,20,48,40,0.857731136008,94,357.8,1.56694232238
111,2,3,68,20,-10,78,40,1.3433682302,258,111.9,1.58337571753
112,2,4,68,20,0,68,40,1.21859174194,333,27.8,1.40043538249
113,2,5,68,20,10,58,10,1.0259149152,212,55.2,2.66699819406
114,2,6,68,20,0,68,10,1.16584846963,289,57.5,1.45008601098
115,2,7,68,20,20,48,10,0.834810311321,149,44.2,3.95034454198
116,2,8,68,20,-10,78,40,1.34591156619,120,116.1,3.35032081689
117,2,9,68,20,0,68,40,1.25375385965,114,75.3,3.10023818658
118,2,10,68,20,40,28,10,0.512290648151,7,15.9,1.6003488131
119,2,11,68,20,-10,78,40,1.34296981184,77,77.2,2.41654610439
120,2,12,68,20,30,38,10,0.647679076628,168,42.1,3.48342398268
121,2,13,68,20,0,68,40,1.12913961342,194,112.2,2.96689807178
122,2,14,68,20,40,28,10,0.474960293502,62,15.5,1.9836405571
123,2,15,68,20,0,68,10,1.19118799794,270,89.5,2.95030017063
124,2,16,68,20,30,38,10,0.676376068741,107,27.7,2.28383382901
125,2,17,68,20,10,58,40,1.14527986681,82,52.7,2.13361147425
126,2,18,68,20,10,58,10,0.990674884338,33,60.1,2.6336499596
127,2,19,68,20,-20,88,10,1.55997072246,216,108.4,2.08379905637
128,2,20,68,20,0,68,40,1.27039060689,329,87.7,0.96691920099
129,2,21,68,20,-20,88,10,1.53779994036,9,107.5,1.76703746421
130,2,22,68,20,-10,78,10,1.35229992276,314,91,0.616983237593
131,2,23,68,20,0,68,40,1.18588277152,1,70.0,2.55056778719
132,2,24,68,20,-30,98,40,1.62566663457,209,114.1,3.10044796947
133,2,25,68,20,-10,78,10,1.34107066002,357,67.5,1.2167307737
134,2,26,68,20,10,58,40,1.00013188715,356,119.2,1.70002194419
135,2,27,68,20,-40,108,40,1.85259914194,41,127.5,2.21692516244
136,2,28,68,20,-10,78,40,1.37403277573,67,56.0,1.75019989743
137,2,29,68,20,20,48,10,0.812165049172,199,56.6,3.80024020895
138,2,30,68,20,20,48,10,0.83809661158,1,44,0.666689103877
139,2,31,68,20,30,38,10,0.636391002912,133,47.2,2.66676456535
140,2,32,68,20,0,68,10,1.18479541733,165,75.0,3.53349840278
141,2,33,68,20,10,58,10,0.996536102114,308,58.0,1.38327544432
142,2,34,68,20,20,48,10,0.821069534148,149,58.5,2.9501558883
143,2,35,68,20,20,48,10,0.870344853412,281,47.3,1.80016776594
144,2,36,68,20,50,18,10,0.295268357558,113,3.5,1.93359149205
145,2,37,68,20,-10,78,10,1.35451103854,158,88.4,2.86696022185
146,2,38,68,20,-20,88,40,1.50954600129,25,72.0,2.61676107903
147,2,39,68,20,-20,88,40,1.46412284074,324,117.4,1.21701782913
148,2,40,68,20,0,68,40,1.236299943,281,74.6,2.16681452084
149,2,41,68,20,0,68,40,1.21180791179,346,59,0.817021028695
150,2,42,68,20,10,58,10,0.99684202984,92,66.1,2.61694037548
151,2,43,68,20,0,68,40,1.28100139755,156,99.6,3.61683895526
152,2,44,68,20,20,48,40,0.800041804906,192,45.3,4.86695448677
153,2,45,68,20,-20,88,40,1.54079168539,10,127.3,1.91704339548
154,2,46,68,20,-40,108,10,1.90801585534,155,112.2,3.28343750538
155,2,47,68,20,10,58,40,0.854059382322,212,25.3,2.95033035522
156,2,48,68,20,0,68,10,1.18862984932,335,70,0.667003023591
157,2,49,68,20,-30,98,40,1.71509358425,5,115.4,1.70025376183
158,3,0,68,20,-30,98,10,1.70998122911,144,109.0,3.51701218461
159,3,1,68,20,-50,118,40,1.98969590508,120,71.9,2.61698746344
160,3,2,68,20,20,48,10,0.828183516111,358,47,0.583637116055
161,3,3,68,20,0,68,40,1.0361963914,307,107.1,0.98359799683
162,3,4,68,20,-20,88,10,1.53847841317,277,94.2,1.45032326184
163,3,5,68,20,-10,78,10,1.38285982373,67,75.5,2.06701944401
164,3,6,68,20,30,38,10,0.684129815473,279,25.9,2.03365189141
165,3,7,68,20,-30,98,10,1.67719184097,351,115.1,2.08345766868
166,3,8,68,20,10,58,10,0.995917933582,153,62.3,4.85029712199
167,3,9,68,20,10,58,40,0.944933911697,300,51.7,1.63365026144
168,3,10,68,20,10,58,10,1.01267856273,318,31.1,1.50030169496
169,3,11,68,20,30,38,40,0.681636625246,23,9.0,1.05002914322
170,3,12,68,20,-10,78,40,1.33178079242,227,101.3,2.86699191566
171,3,13,68,20,-20,88,40,1.61699582789,85,125.1,2.88382706767
172,3,14,68,20,40,28,10,0.470749224166,83,30.9,2.48365972431
173,3,15,68,20,-30,98,40,1.6716839545,236,102.7,2.5670029934
174,3,16,68,20,-30,98,10,1.69942242217,267,106.8,1.33366647057
175,3,17,68,20,-10,78,40,1.3225603472,74,114.0,2.50035059399
176,3,18,68,20,20,48,40,0.836956917736,4,28.0,1.26697151088
177,3,19,68,20,10,58,10,0.993438825421,120,69.3,2.666632055
178,3,20,68,20,-10,78,40,1.37799385615,61,63.3,1.95033639214
179,3,21,68,20,0,68,40,1.07688503942,137,75.7,3.01694140175
180,3,22,68,20,-10,78,10,1.35834921128,3,83.6,1.30010452923
181,3,23,68,20,10,58,10,1.00363745954,211,44.5,2.95030892416
